,date,duration_ms,efficiency,start_time,end_time,time_in_bed,minutes_asleep,minutesToFallAsleep,minutes_awake,log_id,info_code,IsMainSleep,deep_sleep_count,deep_sleep_minutes,deep_sleep_30dayAvgMin,light_sleep_count,light_sleep_minutes,light_sleep_30dayAvgMin,rem_sleep_count,rem_sleep_minutes,rem_sleep_30dayAvgMin,wake_count,wake_minutes,wake_30dayAvgMin
0,2023-11-19,28620000,96,2023-11-18T23:54:00.000,2023-11-19T07:51:00.000,477,430,0,47,43535547707,0,True,3.0,90.0,0.0,22.0,269.0,0.0,5.0,71.0,0.0,19.0,47.0,0.0
1,2023-11-20,35460000,91,2023-11-19T21:50:00.000,2023-11-20T07:41:00.000,591,494,0,97,43543434468,0,True,4.0,95.0,90.0,38.0,329.0,269.0,11.0,70.0,71.0,33.0,97.0,47.0
2,2023-11-21,30540000,96,2023-11-20T23:10:30.000,2023-11-21T07:39:30.000,509,433,0,76,43558631651,0,True,5.0,89.0,93.0,34.0,277.0,299.0,5.0,67.0,71.0,34.0,76.0,72.0
3,2023-11-22,31320000,97,2023-11-21T23:28:00.000,2023-11-22T08:10:00.000,522,437,0,85,43570245939,0,True,6.0,94.0,91.0,32.0,246.0,292.0,9.0,97.0,69.0,25.0,85.0,73.0
4,2023-11-22,8280000,93,2023-11-22T14:16:00.000,2023-11-22T16:34:30.000,138,129,0,9,43573547897,2,False,,,,,,,,,,,,
5,2023-11-23,31380000,92,2023-11-22T22:56:00.000,2023-11-23T07:39:30.000,523,445,0,78,43580244775,0,True,6.0,113.0,92.0,30.0,264.0,280.0,10.0,68.0,76.0,32.0,78.0,76.0
6,2023-11-24,21180000,93,2023-11-23T22:31:00.000,2023-11-24T04:24:30.000,353,316,0,37,43587975283,0,True,3.0,62.0,96.0,16.0,175.0,277.0,3.0,79.0,75.0,16.0,37.0,77.0
7,2023-11-25,34260000,98,2023-11-24T21:55:30.000,2023-11-25T07:27:00.000,571,510,0,61,43601113642,0,True,7.0,115.0,91.0,37.0,282.0,260.0,9.0,113.0,75.0,36.0,61.0,70.0
8,2023-11-26,35760000,90,2023-11-25T22:14:30.000,2023-11-26T08:11:00.000,596,492,0,104,43608485386,0,True,5.0,85.0,94.0,27.0,328.0,263.0,5.0,79.0,81.0,22.0,104.0,69.0
9,2023-11-27,29820000,94,2023-11-26T23:24:30.000,2023-11-27T07:42:00.000,497,428,0,69,43623345002,0,True,5.0,105.0,93.0,33.0,275.0,271.0,8.0,48.0,81.0,38.0,69.0,73.0
10,2023-11-28,30660000,94,2023-11-28T00:28:30.000,2023-11-28T08:59:30.000,511,414,0,97,43635761351,0,True,6.0,78.0,94.0,30.0,235.0,272.0,11.0,101.0,77.0,28.0,97.0,73.0
11,2023-11-29,34200000,94,2023-11-28T22:55:30.000,2023-11-29T08:26:00.000,570,476,0,94,43645168854,0,True,5.0,87.0,93.0,36.0,277.0,268.0,7.0,112.0,79.0,29.0,94.0,75.0
12,2023-11-30,26580000,93,2023-11-29T22:29:00.000,2023-11-30T05:52:30.000,443,360,0,83,43687376362,0,True,6.0,68.0,92.0,29.0,246.0,269.0,6.0,46.0,82.0,24.0,83.0,77.0
13,2023-12-01,31680000,97,2023-11-30T23:36:00.000,2023-12-01T08:24:30.000,528,417,0,111,43687376363,0,True,4.0,76.0,90.0,40.0,258.0,267.0,4.0,83.0,79.0,36.0,111.0,77.0
14,2023-12-02,13020000,98,2023-12-01T23:45:30.000,2023-12-02T03:23:00.000,217,195,0,22,43687376364,0,True,4.0,42.0,89.0,11.0,133.0,266.0,4.0,20.0,80.0,11.0,22.0,80.0
15,2023-12-02,10560000,92,2023-12-02T04:23:30.000,2023-12-02T07:19:30.000,176,159,0,14,43687376365,2,False,,,,,,,,,,,,
16,2023-12-03,33120000,96,2023-12-02T22:11:00.000,2023-12-03T07:23:30.000,552,480,0,72,43691729889,0,True,5.0,92.0,86.0,24.0,277.0,257.0,15.0,111.0,75.0,33.0,72.0,76.0
17,2023-12-04,29280000,91,2023-12-03T23:11:00.000,2023-12-04T07:19:30.000,488,415,0,73,43699997268,0,True,4.0,100.0,86.0,28.0,252.0,258.0,9.0,63.0,78.0,29.0,73.0,76.0
18,2023-12-05,38940000,92,2023-12-04T22:18:00.000,2023-12-05T09:07:30.000,649,578,0,71,43710956309,0,True,5.0,123.0,87.0,30.0,278.0,258.0,15.0,177.0,77.0,33.0,71.0,75.0
19,2023-12-06,35820000,94,2023-12-06T00:49:00.000,2023-12-06T10:46:00.000,597,488,0,109,43729327815,0,True,5.0,113.0,89.0,30.0,248.0,259.0,13.0,127.0,83.0,34.0,109.0,75.0
20,2023-12-07,29580000,94,2023-12-07T00:21:30.000,2023-12-07T08:35:00.000,493,410,0,83,43739274161,0,True,3.0,106.0,90.0,27.0,218.0,258.0,8.0,86.0,85.0,29.0,83.0,77.0
21,2023-12-08,29400000,94,2023-12-07T23:26:00.000,2023-12-08T07:36:30.000,490,425,0,65,43752966218,0,True,5.0,77.0,91.0,37.0,281.0,256.0,6.0,67.0,85.0,37.0,65.0,77.0
22,2023-12-09,29700000,95,2023-12-08T23:52:00.000,2023-12-09T08:07:00.000,495,424,0,71,43762629758,0,True,5.0,97.0,91.0,30.0,270.0,257.0,4.0,57.0,84.0,28.0,71.0,77.0
23,2023-12-10,23220000,95,2023-12-10T00:47:00.000,2023-12-10T07:14:00.000,387,334,0,53,43772688843,0,True,4.0,72.0,91.0,22.0,216.0,258.0,6.0,46.0,83.0,25.0,53.0,76.0
24,2023-12-11,29520000,95,2023-12-10T23:24:00.000,2023-12-11T07:36:30.000,492,411,0,81,43783823872,0,True,3.0,99.0,90.0,22.0,245.0,256.0,7.0,67.0,81.0,25.0,81.0,75.0
25,2023-12-12,28140000,97,2023-12-12T00:45:00.000,2023-12-12T08:34:00.000,469,416,0,53,43794143491,0,True,3.0,85.0,90.0,30.0,259.0,256.0,9.0,72.0,81.0,31.0,53.0,76.0
26,2023-12-13,36300000,95,2023-12-12T23:08:30.000,2023-12-13T09:14:00.000,605,491,0,114,43809233589,0,True,6.0,118.0,90.0,31.0,288.0,256.0,8.0,85.0,80.0,26.0,114.0,75.0
27,2023-12-14,35280000,94,2023-12-13T23:00:30.000,2023-12-14T08:48:30.000,588,506,0,82,43820284121,0,True,5.0,84.0,91.0,31.0,356.0,257.0,7.0,66.0,80.0,31.0,82.0,76.0
28,2023-12-15,25680000,98,2023-12-15T00:12:00.000,2023-12-15T07:20:30.000,428,383,0,45,43830366794,0,True,4.0,70.0,91.0,18.0,195.0,261.0,4.0,118.0,80.0,16.0,45.0,76.0
29,2023-12-16,26460000,95,2023-12-16T00:28:00.000,2023-12-16T07:49:00.000,441,378,0,63,43841046547,0,True,6.0,88.0,90.0,26.0,227.0,258.0,5.0,63.0,81.0,26.0,63.0,75.0
30,2023-12-17,27780000,97,2023-12-16T23:48:00.000,2023-12-17T07:31:00.000,463,402,0,61,43850984458,0,True,4.0,95.0,90.0,20.0,203.0,257.0,9.0,104.0,81.0,24.0,61.0,75.0
31,2023-12-18,33060000,97,2023-12-17T22:43:30.000,2023-12-18T07:54:30.000,551,468,0,83,43862621758,0,True,6.0,92.0,90.0,36.0,306.0,255.0,5.0,70.0,81.0,32.0,83.0,74.0
32,2023-12-19,30960000,96,2023-12-19T00:17:30.000,2023-12-19T08:53:30.000,516,439,0,77,43873052503,0,True,3.0,99.0,90.0,30.0,253.0,257.0,10.0,87.0,81.0,31.0,77.0,75.0
33,2023-12-20,38160000,96,2023-12-19T22:30:00.000,2023-12-20T09:06:30.000,636,553,0,83,43887695490,0,True,7.0,93.0,91.0,34.0,356.0,257.0,13.0,104.0,82.0,37.0,83.0,76.0
34,2023-12-21,32940000,96,2023-12-20T23:08:30.000,2023-12-21T08:17:30.000,549,487,0,62,43896389039,0,True,1.0,75.0,91.0,27.0,318.0,257.0,11.0,94.0,83.0,28.0,62.0,75.0
35,2023-12-22,25200000,92,2023-12-21T23:41:30.000,2023-12-22T06:42:00.000,420,363,0,57,43909505887,0,True,6.0,102.0,90.0,24.0,215.0,259.0,5.0,46.0,84.0,23.0,57.0,75.0
36,2023-12-22,3960000,91,2023-12-22T14:20:30.000,2023-12-22T15:27:00.000,66,60,0,6,43912707380,2,False,,,,,,,,,,,,
37,2023-12-23,29820000,92,2023-12-22T22:39:30.000,2023-12-23T06:56:30.000,497,419,0,78,43915359504,0,True,3.0,60.0,90.0,31.0,316.0,258.0,6.0,43.0,82.0,31.0,78.0,74.0
38,2023-12-24,16980000,94,2023-12-23T22:44:30.000,2023-12-24T03:28:00.000,283,255,0,28,43926749446,0,True,3.0,27.0,89.0,15.0,185.0,260.0,4.0,43.0,81.0,13.0,28.0,74.0
39,2023-12-24,10680000,96,2023-12-24T04:40:00.000,2023-12-24T07:38:30.000,178,171,0,7,43931209117,2,False,,,,,,,,,,,,
40,2023-12-25,30540000,91,2023-12-24T22:42:00.000,2023-12-25T07:11:00.000,509,423,0,86,43939478709,0,True,5.0,111.0,87.0,33.0,210.0,260.0,8.0,102.0,80.0,36.0,86.0,74.0
41,2023-12-26,32460000,94,2023-12-25T23:06:00.000,2023-12-26T08:07:00.000,541,476,0,65,43951980626,0,True,5.0,99.0,87.0,31.0,284.0,257.0,7.0,93.0,80.0,35.0,65.0,74.0
42,2023-12-27,34800000,94,2023-12-26T23:46:00.000,2023-12-27T09:26:00.000,580,501,0,79,43963111566,0,True,5.0,69.0,88.0,41.0,325.0,256.0,13.0,107.0,80.0,43.0,79.0,73.0
43,2023-12-28,30600000,95,2023-12-27T23:06:00.000,2023-12-28T07:36:00.000,510,446,0,64,43973353180,0,True,4.0,89.0,87.0,40.0,296.0,258.0,7.0,61.0,82.0,42.0,64.0,73.0
44,2023-12-29,32820000,92,2023-12-28T22:31:30.000,2023-12-29T07:39:00.000,547,469,0,78,43983147874,0,True,6.0,87.0,87.0,31.0,282.0,260.0,8.0,100.0,81.0,26.0,78.0,72.0
45,2023-12-30,28860000,95,2023-12-29T23:54:00.000,2023-12-30T07:55:30.000,481,430,0,51,43996191086,0,True,3.0,97.0,87.0,25.0,258.0,260.0,12.0,75.0,80.0,33.0,51.0,72.0
46,2023-12-31,37260000,94,2023-12-30T22:14:00.000,2023-12-31T08:35:00.000,621,535,0,86,44004859105,0,True,3.0,108.0,88.0,33.0,307.0,260.0,13.0,120.0,81.0,38.0,86.0,71.0
47,2024-01-01,35100000,91,2023-12-31T23:18:30.000,2024-01-01T09:04:00.000,585,521,0,64,44010975224,0,True,6.0,96.0,89.0,36.0,340.0,262.0,9.0,85.0,82.0,37.0,64.0,70.0
48,2024-01-02,33000000,92,2024-01-01T23:13:30.000,2024-01-02T08:23:30.000,550,456,0,94,44029044589,0,True,5.0,113.0,91.0,30.0,270.0,269.0,12.0,73.0,85.0,32.0,94.0,71.0
